galaxy_id,distance,num_points,baryonic_fraction,mond_simple_corr,mond_simple_mape,mond_std_corr,mond_std_mape,teves_corr,teves_mape,pinning_corr,pinning_mape,mond_simple_ratio,mond_std_ratio,teves_ratio,pinning_ratio
D564-8,8.79,5,0.5212686624202746,0.6008047387156292,46.28438442537863,0.34087999942838665,47.81555239197019,0.3581596301314388,47.62929195558661,0.3183774604875153,46.58585680341832,0.5371561557462137,0.521844476080298,0.5237070804441338,0.5341414319658168
D631-7,7.72,14,0.5692159359622742,-0.8673088905292277,42.81798245189409,-0.8716578098056436,43.41979398182046,-0.8707117970692283,43.32735323777412,-0.871525101162782,42.38772327294366,0.575869156560567,0.569338710846308,0.5703697545668666,0.5832727671005037
DDO154,4.04,10,0.43894093489670893,0.6215606448911958,55.24943741102599,0.4960494486849332,56.08545585754058,0.5087286664641252,55.96524958367472,0.4896649830982909,55.02193850949145,0.4475056258897402,0.4391454414245942,0.44034750416325286,0.4497806149050855
DDO161,7.5,27,0.6772695533572844,0.6212814550891637,31.61144618917246,0.5789511078519909,32.26419706429042,0.5846662968220705,32.15381984255948,0.5777788950847244,30.734678252993415,0.6838855381082752,0.6773580293570958,0.6784618015744052,0.693994776853554
ESO116-G012,13.0,13,0.6865222570939644,0.4224008349873305,31.190538703634118,0.40716270172031377,31.347277765000293,0.4100303797663706,31.31355313855522,0.4070757368207583,29.990510016704132,0.6880946129636588,0.6865272223499971,0.6868644686144478,0.703475976817731
ESO444-G084,4.83,5,0.3788444371480636,-0.6073826386175809,61.701255499267404,-0.6221831501634782,62.10841755072022,-0.6200759434975385,62.042781576368895,-0.6224092311258544,61.17999704586117,0.38298744500732584,0.37891582449279787,0.379572184236311,0.3882000295413883
F563-1,48.9,17,0.4201563798940884,0.9518416071319312,57.50986525733945,0.9526358141560619,57.97768195395962,0.952543120435015,57.90004207603214,0.952652158188372,56.946782612214584,0.42490134742660546,0.42022318046040374,0.4209995792396786,0.4305321738778541
F563-V2,59.7,8,0.4537140860005883,0.9748626670907486,54.423091869513215,0.9753979455358717,54.62757737879586,0.9753065546249047,54.58683698533344,0.9754027866024108,53.50814098929612,0.4557690813048679,0.4537242262120414,0.45413163014666563,0.4649185901070388
F565-V2,51.8,7,0.44244095984409243,0.9886815902065288,55.1714964448438,0.9885038892993276,55.748016285842574,0.9885282513895776,55.652831987003864,0.9884990255189593,54.66329267633677,0.4482850355515621,0.4425198371415742,0.44347168012996135,0.4533670732366322
F568-1,90.7,11,0.46479645552568455,0.9140934122292048,53.32474603866215,0.9136936421956122,53.519499075800425,0.9137650299182629,53.48011295637261,0.9136906075803273,52.372536040357794,0.46675253961337854,0.46480500924199575,0.46519887043627395,0.4762746395964221
