galaxy_id,distance,num_points,baryonic_fraction,mond_simple_corr,mond_simple_mape,mond_std_corr,mond_std_mape,teves_corr,teves_mape,pinning_corr,pinning_mape,mond_simple_ratio,mond_std_ratio,teves_ratio,pinning_ratio
NGC1705,5.73,12,0.44277987268097996,0.7953960897778092,55.39483450830162,0.7943789705002929,55.718009464408055,0.7944761074051405,55.66205872651718,0.7943339772270331,54.628564444801405,0.4460516549169839,0.4428199053559194,0.4433794127348282,0.4537143555519861
NGC2366,3.27,22,0.6551395256510095,0.9775193149048482,34.013409502730106,0.974578325846807,34.482073117898956,0.9751081590271562,34.39616516534289,0.9745216987730319,32.99767826140313,0.6598659049726988,0.6551792688210103,0.6560383483465712,0.6713182464180021
NGC2403,3.16,64,0.7941616885803224,-0.6341936595162592,23.36377736419363,-0.6371355546159876,23.485575427047486,-0.636549943346692,23.462349580304828,-0.6371481565617338,23.371761301391402,0.7956881994739904,0.7941697490162162,0.794481939974188,0.8137735723093902
NGC2841,14.1,50,0.7481380225960499,0.8640517626283793,25.166218619957235,0.8637733811547248,25.25507024310199,0.863822238477802,25.23603495002478,0.8637704897447802,23.50836528341834,0.7490330009052119,0.7481414043175585,0.7483327182646607,0.7666133483684092
NGC3109,1.33,22,0.4238784311974629,0.9684577486858885,56.97750513906316,0.964385138218729,57.60207730964077,0.964888446503111,57.502543385836496,0.9642402119414362,56.565385847674044,0.43022494860936855,0.4239792269035925,0.424974566141635,0.43434614152325945
NGC3198,13.8,40,0.8433062064243266,0.3365920648195792,19.580605096532313,0.32689095096665494,19.761810598484175,0.3285909138118649,19.72736160655006,0.326797767087325,19.20124569180603,0.845328818010157,0.8433205691911352,0.8437163132548093,0.8641317177858238
NGC3741,3.21,17,0.3533027614771029,0.8760037689815926,63.532742070397234,0.8083391858269638,64.62395283264216,0.8139726027540124,64.49758543196914,0.8012166207429811,63.79723997666559,0.36467257929602775,0.3537604716735785,0.35502414568030854,0.3620276002333441
NGC6674,51.2,15,0.7152385641959359,0.6152004979087393,28.613139801669604,0.6135721392393224,28.79849593438694,0.6138651862572053,28.76114857061642,0.613557584302503,27.370431524099065,0.7171160177445637,0.7152482709806106,0.715626051422743,0.7329014353231389
UGC06917,18.0,11,0.7126140009990212,0.9897330848283704,28.567941562262664,0.989399414727699,28.738127483027732,0.9894643933054018,28.701239658997213,0.9893970956610683,26.978794166295472,0.7143205843773733,0.7126187251697228,0.7129876034100279,0.7302120583370453
UGC06930,18.0,10,0.7093308171285454,0.8796235366060468,28.82067442724999,0.8735460817709709,29.065823569313046,0.8746107322744534,29.015755546717326,0.8734870539474058,27.315220401059047,0.7117932557275001,0.7093417643068696,0.7098424445328267,0.7268477959894095
UGC06983,18.0,17,0.6134486961340995,0.38273620601984143,38.54371262665779,0.3261995203760909,38.784012364849964,0.3361378612556136,38.73696151524177,0.32570789401993655,37.56422069873976,0.6159811022706352,0.6134625837224496,0.6139612736990794,0.6285978586728228
UGC07089,18.0,11,0.8185578101597428,0.8769993488506959,18.14568743563872,0.8729460191433426,18.409660965370698,0.8736550586555121,18.356329472294842,0.872909678555623,16.844994390973195,0.8216681542195707,0.8185707789400993,0.8192038744426612,0.8387721579798589
UGC07151,6.87,10,0.7730886836082225,0.9879201326859072,22.522263767806997,0.9876985936899385,22.690718803770334,0.9877438724854274,22.653671849354527,0.987697558291672,20.78198321346028,0.77477736232193,0.7730928119622967,0.7734632815064548,0.7921801678653971
UGC07399,8.43,9,0.4407039212768928,0.43679456633335123,55.75508074767719,0.29631492840175394,55.92876764154602,0.3221794054877036,55.89383702518323,0.29506513201143925,54.84128616310345,0.4424491925232281,0.4407123235845398,0.44106162974816765,0.4515871383689655
UGC07524,4.74,29,0.5958635250942588,0.9753503286485534,40.02799915280839,0.975350732605038,40.41110487757924,0.9753511683148204,40.338522546078416,0.9753508487735589,38.942157951279995,0.5997200084719161,0.5958889512242076,0.5966147745392159,0.6105784204872
UGC07559,4.97,5,0.7380570568418245,0.9551711803208015,25.630533711555252,0.9545142157643447,26.18984061575916,0.9546255349902734,26.08700430277267,0.9545070487074409,24.371656760727795,0.7436946628844475,0.7381015938424083,0.7391299569722733,0.7562834323927221
UGC07603,4.7,10,0.5458369603294831,-0.44791436836029597,45.15237052591895,-0.4577380205399407,45.41458876079086,-0.4560527676501893,45.363938854009525,-0.4578209175418522,44.06835541262743,0.5484762947408106,0.5458541123920914,0.5463606114599047,0.5593164458737256
UGC07608,8.21,7,0.41509172532360117,0.9891161725048268,58.054893918470064,0.9889987426597808,58.486196616239525,0.989015222822431,58.411321007160474,0.9889961108485086,57.46575527251834,0.4194510608152993,0.4151380338376046,0.41588678992839523,0.4253424472748167
UGC07690,8.11,6,0.7620036424891334,0.944692273049522,23.599958420885315,0.9448289661277897,23.798948168589963,0.9448154931053787,23.756789660391323,0.9448313212993263,21.91786191931969,0.7640004157911467,0.7620105183141005,0.7624321033960868,0.7808213808068031
UGC08286,6.5,15,0.5105360272501346,0.5917919884021083,48.6735061345979,0.5698448841626571,48.9446088406676,0.5734245461068216,48.89256394281342,0.5695693988331658,47.68562464519264,0.513264938654021,0.510553911593324,0.5110743605718658,0.5231437535480737
UGC08490,4.65,28,0.5056156710671164,-0.4602347436244224,49.067794794046186,-0.459816049003447,49.433989113454594,-0.459607508462319,49.37030372157277,-0.45971062165082327,48.189811120776355,0.5093220520595382,0.5056601088654541,0.5062969627842723,0.5181018887922365
UGC08550,6.7,9,0.5075247322705785,-0.6042171357345965,48.807883094274494,-0.6261504130199006,49.242852486346735,-0.6230817618150798,49.16647461035356,-0.6265572003068941,47.99419055916555,0.5119211690572552,0.5075714751365327,0.5083352538964643,0.5200580944083445
UGC10310,15.2,7,0.6497422257775817,0.9894559720517473,34.73238915809831,0.9894888176115669,35.02438131188229,0.9894840503405646,34.96600300110456,0.9894888650772828,33.42123401892115,0.6526761084190168,0.6497561868811772,0.6503399699889544,0.6657876598107885
UGC12632,9.77,14,0.5408010766974393,0.9732716561817755,45.440211613928895,0.9737054530972171,45.91544496028523,0.9736468671711171,45.830525809382245,0.9737154530119455,44.58437992903399,0.5455978838607111,0.5408455503971478,0.5416947419061777,0.5541562007096602
UGC12732,13.2,15,0.5121071386841642,0.9579010464990741,48.32133761171498,0.9549667658923209,48.78448200902145,0.9554314756209218,48.702981829127694,0.9549166214588799,47.52463363006926,0.5167866238828502,0.5121551799097854,0.5129701817087231,0.5247536636993074
UGCA442,4.35,7,0.47965924643317787,0.5652471910870374,51.43200642713162,0.5272050163995643,52.023927306464756,0.5317046250586039,51.92908598656623,0.5258643605032056,50.849553173619434,0.4856799357286838,0.47976072693535243,0.4807091401343378,0.4915044682638056
UGCA444,0.98,23,0.5096226131796494,0.42035897682341217,48.387749686440245,0.34586148642329456,49.02875167028572,0.3552338169935544,48.92297129418648,0.3434905946982645,47.779221735284594,0.5161225031355976,0.5097124832971428,0.510770287058135,0.522207782647154
