ID,D,R,Vobs,e_Vobs,Vgas,Vdisk,Vbul,SBdisk,SBul,Baryonic,Vdm
DDO161,7.5,3.9,42.7,3.25,25.62,25.01,0.0,2.55,0.0,35.80341464162322,6.896585358376782
DDO161,7.5,4.37,45.5,2.99,26.35,24.48,0.0,1.74,0.0,35.96655251758222,9.533447482417778
DDO161,7.5,4.86,48.9,1.96,27.08,23.7,0.0,1.09,0.0,35.986336295877635,12.913663704122364
DDO161,7.5,5.34,51.5,1.53,27.81,22.69,0.0,0.64,0.0,35.891951744088814,15.608048255911186
DDO161,7.5,5.81,53.0,1.86,28.4,21.59,0.0,0.46,0.0,35.67475437897225,17.325245621027747
DDO161,7.5,6.28,55.0,1.48,28.98,20.86,0.0,0.36,0.0,35.70686208559918,19.293137914400823
DDO161,7.5,6.75,57.6,0.99,29.57,20.11,0.0,0.24,0.0,35.760271251767655,21.839728748232346
DDO161,7.5,7.22,59.7,1.19,30.3,19.38,0.0,0.16,0.0,35.96768549684563,23.73231450315437
DDO161,7.5,7.69,60.5,1.26,31.18,18.7,0.0,0.11,0.0,36.35770069737634,24.142299302623663
DDO161,7.5,8.16,61.8,1.33,32.06,18.06,0.0,0.07,0.0,36.796836820574676,25.00316317942532
DDO161,7.5,8.64,62.9,1.35,32.64,17.47,0.0,0.05,0.0,37.021216889778216,25.878783110221782
DDO161,7.5,9.11,63.0,2.09,33.23,16.94,0.0,0.03,0.0,37.29874662773536,25.701253372264638
DDO161,7.5,9.58,64.5,2.38,33.38,16.44,0.0,0.02,0.0,37.20884303495609,27.29115696504391
DDO161,7.5,10.05,65.6,1.08,33.38,15.98,0.0,0.02,0.0,37.007901858927376,28.59209814107262
DDO161,7.5,10.52,67.5,3.22,32.79,15.57,0.0,0.01,0.0,36.29888428037424,31.20111571962576
DDO161,7.5,10.99,66.8,2.37,32.06,15.18,0.0,0.01,0.0,35.472186287287116,31.32781371271288
DDO161,7.5,11.46,66.8,0.95,31.18,14.81,0.0,0.0,0.0,34.518524012477705,32.28147598752229
DDO161,7.5,11.94,66.6,0.96,30.3,14.47,0.0,0.0,0.0,33.57783346197309,33.0221665380269
DDO161,7.5,12.41,66.8,0.99,29.42,14.16,0.0,0.0,0.0,32.650298620380184,34.14970137961981
DDO161,7.5,12.9,66.3,0.74,28.69,13.86,0.0,0.0,0.0,31.86244968611171,34.43755031388829
DDO161,7.5,13.37,66.1,1.31,27.81,13.59,0.0,0.0,0.0,30.952935240458213,35.14706475954178
ESO116-G012,13.0,0.25,20.9,3.4,-0.22,17.33,0.0,276.94,0.0,17.33139636613276,3.5686036338672373
ESO116-G012,13.0,0.83,40.0,3.29,-1.8,34.96,0.0,168.99,0.0,35.00630800298712,4.993691997012881
ESO116-G012,13.0,1.38,51.5,2.96,-1.55,51.34,0.0,141.01,0.0,51.36339260601854,0.13660739398145694
ESO116-G012,13.0,1.85,67.9,3.45,5.01,61.73,0.0,81.24,0.0,61.93297183245771,5.967028167542296
ESO116-G012,13.0,2.68,80.2,2.93,12.54,60.49,0.0,46.01,0.0,61.776141834854016,18.423858165145987
ESO116-G012,13.0,3.19,83.3,3.08,16.68,63.17,0.0,41.4,0.0,65.33506944972203,17.96493055027797
ESO116-G012,13.0,3.68,91.4,2.83,20.19,65.14,0.0,30.23,0.0,68.19718249312064,23.20281750687937
ESO116-G012,13.0,4.13,102.0,5.4,22.31,66.32,0.0,24.2,0.0,69.97198367918405,32.02801632081595
ESO116-G012,13.0,5.23,105.0,4.21,25.63,64.52,0.0,9.48,0.0,69.42425584765024,35.575744152349756
ESO116-G012,13.0,6.05,109.0,2.1,27.28,60.09,0.0,3.57,0.0,65.99247305564477,43.007526944355234
ESO116-G012,13.0,6.81,108.0,2.1,28.58,55.74,0.0,2.78,0.0,62.639955300111765,45.360044699888235
ESO116-G012,13.0,7.56,109.0,2.1,30.7,53.61,0.0,2.04,0.0,61.778006604292436,47.221993395707564
ESO116-G012,13.0,8.32,110.0,2.1,33.83,51.18,0.0,1.21,0.0,61.35031621760397,48.64968378239603
ESO116-G012,13.0,9.09,111.0,2.33,35.49,49.08,0.0,0.72,0.0,60.56720647347044,50.43279352652956
ESO116-G012,13.0,9.86,112.0,4.74,33.74,46.34,0.0,0.0,0.0,57.32175154337139,54.67824845662861
ESO444-G084,4.83,0.26,18.3,1.8,4.59,8.31,0.0,31.29,0.0,9.493376638478008,8.806623361521993
ESO444-G084,4.83,0.77,35.3,3.0,11.55,14.79,0.0,10.44,0.0,18.765569535721532,16.534430464278465
ESO444-G084,4.83,1.29,47.8,4.63,16.45,14.54,0.0,3.29,0.0,21.954819516452417,25.84518048354758
ESO444-G084,4.83,1.81,52.8,1.26,19.03,13.66,0.0,1.03,0.0,23.4251253998778,29.374874600122197
ESO444-G084,4.83,2.32,58.0,3.11,20.09,12.28,0.0,0.34,0.0,23.545838273461406,34.454161726538594
ESO444-G084,4.83,3.39,63.1,1.35,17.39,9.97,0.0,0.03,0.0,20.045273757172787,43.054726242827215
ESO444-G084,4.83,4.44,62.7,7.36,14.45,8.53,0.0,0.0,0.0,16.779851012449424,45.920148987550576
F563-1,48.9,1.07,22.1,7.17,1.98,18.3,0.0,33.42,0.0,18.40680309016207,3.69319690983793
F563-1,48.9,1.78,42.7,10.66,4.03,24.51,0.0,20.43,0.0,24.83910223820499,17.860897761795012
F563-1,48.9,2.49,60.6,7.69,6.25,27.45,0.0,14.31,0.0,28.152530969701463,32.447469030298535
F563-1,48.9,2.97,76.8,11.1,7.78,28.28,0.0,9.63,0.0,29.33064608903118,47.46935391096882
F563-1,48.9,3.04,81.6,17.5,8.01,28.2,0.0,9.31,0.0,29.315526602808962,52.284473397191036
F563-1,48.9,3.19,87.0,8.93,8.49,28.16,0.0,9.15,0.0,29.411999252005973,57.58800074799403
F563-1,48.9,6.95,90.0,24.8,17.83,29.57,0.0,3.35,0.0,34.52960758537519,55.47039241462481
F563-1,48.9,8.58,97.8,9.4,22.83,29.09,0.0,1.88,0.0,36.978872346246575,60.82112765375342
F563-1,48.9,9.26,93.7,25.3,24.91,28.73,0.0,1.68,0.0,38.02526791490101,55.674732085098995
F563-1,48.9,9.89,103.0,23.8,26.69,28.7,0.0,1.49,0.0,39.19242401281146,63.80757598718854
F563-1,48.9,10.08,97.4,11.0,27.31,28.73,0.0,1.43,0.0,39.63898333711398,57.76101666288603
F563-1,48.9,11.84,106.5,9.48,30.86,27.77,0.0,0.72,0.0,41.515208056807325,64.98479194319268
F563-1,48.9,14.56,112.0,11.0,30.44,25.73,0.0,0.36,0.0,39.8575776986008,72.1424223013992
F563-1,48.9,15.43,111.5,9.4,30.7,25.11,0.0,0.28,0.0,39.661090504422596,71.83890949557741
F563-1,48.9,17.93,111.0,24.3,33.36,23.48,0.0,0.14,0.0,40.794607486774524,70.20539251322548
F563-1,48.9,19.02,112.5,7.75,34.35,22.95,0.0,0.1,0.0,41.311318061761234,71.18868193823877
F563-1,48.9,20.1,106.0,10.7,35.34,22.07,0.0,0.0,0.0,41.6653393121909,64.3346606878091
F563-V2,59.7,0.28,11.9,7.89,0.95,6.22,0.0,68.0,0.0,6.2921300050142,5.6078699949858
F563-V2,59.7,0.87,34.8,7.89,2.93,17.64,0.0,60.24,0.0,17.881680569789854,16.918319430210143
F563-V2,59.7,1.46,58.5,8.68,4.98,27.33,0.0,50.99,0.0,27.78001619869938,30.71998380130062
F563-V2,59.7,2.05,81.5,14.2,7.2,35.16,0.0,39.39,0.0,35.88963081448456,45.61036918551544
F563-V2,59.7,2.35,91.8,17.5,8.24,37.71,0.0,33.19,0.0,38.599762952640006,53.20023704735999
F563-V2,59.7,4.76,114.0,8.68,16.62,45.06,0.0,10.8,0.0,48.02736719829643,65.97263280170357
F563-V2,59.7,7.86,116.0,8.68,34.33,41.16,0.0,3.01,0.0,53.59752326367329,62.40247673632671
F563-V2,59.7,8.7,117.0,16.6,39.57,40.09,0.0,2.22,0.0,56.32932628746771,60.67067371253229
F563-V2,59.7,10.18,118.0,51.9,39.57,38.11,0.0,1.34,0.0,54.93775568768714,63.06224431231286
F563-V2,59.7,10.47,118.0,40.3,39.57,37.78,0.0,1.24,0.0,54.70935294810203,63.29064705189797
F565-V2,51.8,1.26,21.7,10.0,5.7,11.4,0.0,12.58,0.0,12.745587471748802,8.954412528251197
F565-V2,51.8,2.51,40.3,10.0,10.7,17.23,0.0,5.69,0.0,20.2820832263355,20.017916773664496
F565-V2,51.8,3.78,57.7,7.0,14.75,19.15,0.0,4.01,0.0,24.17198791990431,33.52801208009569
F565-V2,51.8,5.03,68.5,7.0,18.18,18.51,0.0,1.6,0.0,25.94479716629136,42.55520283370864
F565-V2,51.8,6.29,73.5,7.0,21.5,20.41,0.0,1.58,0.0,29.644866334662396,43.855133665337604
F565-V2,51.8,7.54,78.5,5.0,24.72,20.52,0.0,0.6,0.0,32.127072695781045,46.372927304218955
F565-V2,51.8,8.8,83.1,6.0,27.11,18.68,0.0,0.21,0.0,32.922553060174415,50.17744693982558
F568-1,90.7,0.44,15.7,9.1,-2.08,12.26,0.0,98.11,0.0,12.435191996909417,3.2648080030905824
F568-1,90.7,1.32,44.5,9.1,-5.39,28.49,0.0,57.84,0.0,28.995382390994603,15.504617609005397
F568-1,90.7,2.2,69.4,9.1,-6.26,35.84,0.0,38.81,0.0,36.38259473979282,33.017405260207184
F568-1,90.7,3.08,90.0,11.4,-3.53,40.15,0.0,24.49,0.0,40.30488059776384,49.69511940223616
F568-1,90.7,3.96,105.0,9.88,1.83,41.23,0.0,19.47,0.0,41.270592435776834,63.729407564223166
F568-1,90.7,4.84,113.0,16.2,8.4,42.44,0.0,16.02,0.0,43.26330546779799,69.73669453220201
F568-1,90.7,5.53,117.0,24.8,13.64,43.19,0.0,13.79,0.0,45.29266717692832,71.70733282307168
F568-1,90.7,7.48,124.0,9.1,27.27,47.2,0.0,10.81,0.0,54.511401559673736,69.48859844032626
F568-1,90.7,8.37,127.0,9.1,32.13,48.6,0.0,8.48,0.0,58.26059474464709,68.7394052553529
F568-1,90.7,9.24,130.0,9.1,36.26,48.96,0.0,6.88,0.0,60.92511140736634,69.07488859263367
F568-1,90.7,10.13,133.0,9.1,39.77,48.92,0.0,5.7,0.0,63.04616800409046,69.95383199590954
F568-1,90.7,13.23,142.0,23.8,47.41,49.96,0.0,3.23,0.0,68.87459400969271,73.12540599030729
F568-V1,80.6,0.39,17.4,30.4,-1.11,12.25,0.0,99.83,0.0,12.30018699044856,5.099813009551438
F568-V1,80.6,1.18,46.3,37.1,-2.76,28.99,0.0,60.79,0.0,29.12108686158537,17.17891313841463
F568-V1,80.6,1.95,69.1,13.1,-2.63,34.78,0.0,34.2,0.0,34.879296151155344,34.22070384884465
F568-V1,80.6,2.74,85.2,6.2,-0.03,37.08,0.0,27.14,0.0,37.08001213592034,48.11998786407966
F568-V1,80.6,3.53,93.2,6.2,3.84,41.2,0.0,22.68,0.0,41.37856449902534,51.821435500974665
F568-V1,80.6,4.3,100.0,12.4,7.34,44.37,0.0,16.78,0.0,44.97301968958722,55.02698031041278
F568-V1,80.6,5.09,108.0,6.2,9.92,45.35,0.0,11.52,0.0,46.422288827674144,61.577711172325856
F568-V1,80.6,5.87,112.0,6.2,12.15,44.94,0.0,9.36,0.0,46.55347570267981,65.4465242973202
F568-V1,80.6,6.4,113.0,24.9,13.65,45.12,0.0,8.08,0.0,47.139547091587545,65.86045290841246
F568-V1,80.6,7.44,113.0,15.5,17.06,45.76,0.0,6.21,0.0,48.83667883875806,64.16332116124194
F568-V1,80.6,8.21,112.0,13.1,19.87,46.01,0.0,4.32,0.0,50.11723256525644,61.88276743474356
F568-V1,80.6,9.0,111.0,26.4,22.99,44.52,0.0,3.01,0.0,50.10559350012731,60.89440649987269
F568-V1,80.6,9.72,111.0,19.4,26.1,43.69,0.0,2.45,0.0,50.89229902450861,60.10770097549139
F568-V1,80.6,11.79,113.0,12.5,34.23,40.77,0.0,1.17,0.0,53.23425400998872,59.76574599001128
F568-V1,80.6,17.63,118.0,14.6,36.03,33.12,0.0,0.0,0.0,48.939710869599544,69.06028913040046
F571-V1,80.1,1.95,32.0,10.0,7.85,23.82,0.0,23.44,0.0,25.080169457162764,6.919830542837236
F571-V1,80.1,3.88,57.6,10.0,15.1,35.57,0.0,10.77,0.0,38.64239769993575,18.957602300064252
F571-V1,80.1,5.83,70.9,7.0,20.84,33.21,0.0,4.16,0.0,39.20726590824716,31.692734091752847
F571-V1,80.1,7.78,77.0,6.0,25.68,32.58,0.0,2.09,0.0,41.48395834536526,35.51604165463474
F571-V1,80.1,9.72,82.5,6.0,29.5,31.97,0.0,1.23,0.0,43.500929875118764,38.999070124881236
F571-V1,80.1,11.66,84.3,6.0,30.81,29.08,0.0,0.46,0.0,42.36628966525154,41.933710334748454
F571-V1,80.1,13.59,83.9,6.0,28.8,26.58,0.0,0.0,0.0,39.191024482654186,44.70897551734582
F574-1,96.8,0.47,15.3,4.4,0.25,12.99,0.0,104.59,0.0,12.992405473968244,2.3075945260317567
F574-1,96.8,1.41,41.0,4.36,0.88,32.88,0.0,69.17,0.0,32.891774047624736,8.108225952375264
F574-1,96.8,2.35,60.7,4.4,1.88,41.13,0.0,36.87,0.0,41.172943785937875,19.527056214062128
F574-1,96.8,3.29,74.9,4.4,3.41,42.43,0.0,24.85,0.0,42.566806316659466,32.33319368334054
F574-1,96.8,4.22,83.0,6.28,5.43,44.37,0.0,21.2,0.0,44.701026833843535,38.298973166156465
F574-1,96.8,5.17,86.8,4.4,7.8,46.69,0.0,16.81,0.0,47.33704785894448,39.46295214105552
F574-1,96.8,6.11,89.4,4.4,10.44,48.85,0.0,13.72,0.0,49.95313904050475,39.446860959495254
F574-1,96.8,7.05,92.5,4.4,13.15,49.34,0.0,10.54,0.0,51.06229626642343,41.43770373357657
F574-1,96.8,7.99,94.7,4.4,16.07,50.15,0.0,8.66,0.0,52.661821085108706,42.0381789148913
